,,,,,,,,,,,DESCRIPTION,,,,STAPLES ITEM ID,,QTY. ,STAPLES PRICE
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN227M HY MAG TONER,Ink and Toner,OEM Toner,EA,24339499,M8993-H053426, 14 ,$90.70 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN227Y HY YLW TONER,Ink and Toner,OEM Toner,EA,24339490,M8993-H053426, 14 ,$90.70 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN420 BLACK,Ink and Toner,OEM Toner,EA,889139,M8993-H053426, 22 ,$32.78 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN660 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1005409,M8993-H053426, 14 ,$48.31 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,M8993-H053426, 18 ,$61.65 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,BROTHER TN850 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1868096,M8993-H053426, 15 ,$84.66 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,MICR PRINT SOLUTIONS HP80X HY,Ink and Toner,OEM Toner,EA,265628,M8993-H053426, 11 ,$353.13 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,EAST POLSTON,NORTHWEST SPECIALITY HOSPITAL,1593 E POLSTON AVE,POST FALLS,ID,83854,10/25/2012,PRINT CARTRIDGE BLACK SP C430A,Ink and Toner,OEM Toner,EA,414363,M8993-H053426, 14 ,$79.81 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG,NORTHWEST SPECIALITY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,9/18/2015,501H HIGH YIELD RETURN PROGRAM,Ink and Toner,OEM Toner,EA,LEX50F1H0E,M8993-H054391, 270 ,$167.99 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG,NORTHWEST SPECIALITY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,9/18/2015,BROTHER TN820 BLACK,Ink and Toner,OEM Toner,EA,1868097,M8993-H054391, 18 ,$61.65 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG,NORTHWEST SPECIALITY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,9/18/2015,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,M8993-H054391, 250 ,$99.63 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG,NORTHWEST SPECIALITY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,9/18/2015,LEXMARK 501H HY RETURN TON BLK,Ink and Toner,OEM Toner,EA,117468,M8993-H054391, 60 ,$133.48 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG2,NORTHWEST SPECIALTY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,12/12/2019,BROTHER TN360 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,713996,M8993-H054391, 55 ,$48.66 
LA,10031791,'@B24545,NORTHWEST SPECIALITY HOSPITAL,TAMARACK BLDG2,NORTHWEST SPECIALTY HOSPITAL,1551 E MULLAN AVE,POST FALLS,ID,83854,12/12/2019,BROTHER TN431 YELLOW,Ink and Toner,OEM Toner,EA,2698289,M8993-H054391, 11 ,$74.14 
LA,10092018,'@B41252,LA PEER SURGERY CENTER,BH SUITE 106,LA PEER SURGERY CENTER,8920 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,8/9/2019,HP 30X HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2465761, , 11 ,$70.22 
LA,1815565,1021360,BELLINGHAM ASC,BELLINGHAM,BELLINGHAM ASC,2075 BARKLEY BLVD,BELLINGHAM,WA,98226,1/23/2014,HP 26A BLACK,Ink and Toner,OEM Toner,EA,2711333,A8204-H012404, 156 ,$84.94 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A BLACK TONER CART,Ink and Toner,OEM Toner,EA,24422203,J5292-H021873, 54 ,$48.85 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A CYAN TONER CART,Ink and Toner,OEM Toner,EA,24422208,J5292-H021873, 51 ,$54.61 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A MAGENTA TONER CART,Ink and Toner,OEM Toner,EA,24422205,J5292-H021873, 42 ,$54.61 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A MAGENTA TONER CART,Ink and Toner,OEM Toner,EA,IM16YE864,J5292-H021873, 15 ,$54.61 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A YELLOW TONER CART,Ink and Toner,OEM Toner,EA,24422200,J5292-H021873, 19 ,$54.61 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP 215A YELLOW TONER CART,Ink and Toner,OEM Toner,EA,HEWW2312A,J5292-H021873, 19 ,$54.61 
DET,1825749,1055304,ST LOUIS WOMENS SURGERY CENTER,BALLWIN,ST LOUIS WOMENS SURGERY CENTER,884 WOODS MILL RD,BALLWIN,MO,63011,6/16/2015,HP CE285AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,853301,J5292-H021873, 19 ,$25.46 
DET,1826848,1056695,SURGERY PARTNERS,SAN ANTONIO2,SURGERY PARTNERS,12838 VISTA DEL NORTE,SAN ANTONIO,TX,78216,6/10/2019,HP CE410XC TONER BLACK,Ink and Toner,OEM Toner,EA,1020794,A8201-H012401, 11 ,$69.58 
DET,1826848,1058094,SURGERY PARTNERS,K0734,NOVA MED EYE SURGERY CENTER OF OVER,5520 COLLEGE BLVD,OVERLAND PARK,KS,66211,10/22/2015,HP 414A BLACK,Ink and Toner,OEM Toner,EA,24398984,K0734-H029993, 13 ,$79.89 
DET,1826848,1058094,SURGERY PARTNERS,K0734,NOVA MED EYE SURGERY CENTER OF OVER,5520 COLLEGE BLVD,OVERLAND PARK,KS,66211,10/22/2015,HP 58X CONTRACT ONLY HYBLK TNR,Ink and Toner,OEM Toner,EA,24398983,K0734-H029993, 31 ,$208.67 
PHL,1826856,1009201,SURGERY PARTNERS,BETHLEHEM,CENTER FOR SPECIALIZED SURGERY,2851 BAGLYOS CIR,BETHLEHEM,PA,18020,8/10/2015,HP 05A BLACK 2PK,Ink and Toner,OEM Toner,PK,332849,K0747-H030006, 14 ,$141.51 
PHL,1827516,1009260,PHYSICIANS SURGICAL CENTER,LEBANON,PHYSICIANS SURGICAL CENTER,1840 QUENTIN RD,LEBANON,PA,17042,9/9/2015,HP 26A BLACK,Ink and Toner,OEM Toner,EA,2711333,K0746-H030005, 41 ,$84.94 
PHL,1827516,1009260,PHYSICIANS SURGICAL CENTER,LEBANON,PHYSICIANS SURGICAL CENTER,1840 QUENTIN RD,LEBANON,PA,17042,9/9/2015,HP 80A BLACK,Ink and Toner,OEM Toner,EA,1004306,K0746-H030005, 21 ,$36.34 
PHL,1827516,1009260,PHYSICIANS SURGICAL CENTER,LEBANON,PHYSICIANS SURGICAL CENTER,1840 QUENTIN RD,LEBANON,PA,17042,9/9/2015,HP 80A BLACK,Ink and Toner,OEM Toner,EA,665699,K0746-H030005, 21 ,$36.34 
LA,1837803,1043854,SPECIALTY SURGICAL CENTER,SUITE 203,SPECIALTY SURGICAL CENTER,9001 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,10/18/2017,BROTHER TN660 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1005409,A8232-H012432, 14 ,$48.31 
LA,1837803,1043854,SPECIALTY SURGICAL CENTER,SUITE 203,SPECIALTY SURGICAL CENTER,9001 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,10/18/2017,BROTHER TN730 BLACK,Ink and Toner,OEM Toner,EA,2735052,A8232-H012432, 7 ,$0.00 
LA,1837803,1043854,SPECIALTY SURGICAL CENTER,SUITE 203,SPECIALTY SURGICAL CENTER,9001 WILSHIRE BLVD,BEVERLY HILLS,CA,90211,10/18/2017,BROTHER TN880 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,1868071,A8232-H012432, 51 ,$115.78 
CHI,55000075,SURGCTR,SURGERY PARTNERS,PORTAGE,SURGERY CENTER OF KALAMAZOO,3200 WEST CENTRE,PORTAGE,MI,49024,11/21/2006,HP 58X CONTRACT ONLY HYBLK TNR,Ink and Toner,OEM Toner,EA,24398982,K0736-H029995, 22 ,$208.67 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,BROTHER TN460 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,392467,A8245-H012445, 31 ,$61.27 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP 414X CONTRACT HY BLK LJ TNR,Ink and Toner,OEM Toner,EA,24398989,A8245-H012445, 13 ,$161.67 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP 414X CONTRACT HY CYN LJ TNR,Ink and Toner,OEM Toner,EA,24399008,A8245-H012445, 13 ,$220.89 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP 414X CONTRACT HY MAG LJ TN,Ink and Toner,OEM Toner,EA,24398986,A8245-H012445, 13 ,$220.89 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP 414X CONTRACT HY YEL LJ TNR,Ink and Toner,OEM Toner,EA,24398992,A8245-H012445, 13 ,$220.89 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP 80A BLACK,Ink and Toner,OEM Toner,EA,1004306,A8245-H012445, 22 ,$36.34 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126091,A8245-H012445, 22 ,$35.54 
CHI,55000085,VLYAMBU,VALLEY AMBULATORY SURGERY CENTER,ST CHARLES,VALLEY AMBULATORY SURGERY CENTER,2475 DEAN ST,SAINT CHARLES,IL,60175,12/5/2006,HP CF226XC BLK CONTRACT TONER,Ink and Toner,OEM Toner,EA,1847330,A8245-H012445, 11 ,$156.92 
LA,70106425,1064815,GREAT FALLS CLINIC HOSPITAL,HOSPITAL,GREAT FALLS HOSPITAL,3010 15TH AVE S,GREAT FALLS,MT,59405,9/18/2020,501H HIGH YIELD RETURN PROGRAM,Ink and Toner,OEM Toner,EA,LEX50F1H0E,J3202-H018839, 22 ,$167.99 
LA,70106425,1064815,GREAT FALLS CLINIC HOSPITAL,HOSPITAL,GREAT FALLS HOSPITAL,3010 15TH AVE S,GREAT FALLS,MT,59405,9/18/2020,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,J3202-H018839, 22 ,$99.63 
LA,70106425,1064815,GREAT FALLS CLINIC HOSPITAL,HOSPITAL,GREAT FALLS HOSPITAL,3010 15TH AVE S,GREAT FALLS,MT,59405,9/18/2020,LEXMARK ULTRA HY RET PROG BLK,Ink and Toner,OEM Toner,EA,24326077,J3202-H018839, 22 ,$383.99 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP 131A BLACK,Ink and Toner,OEM Toner,EA,954077,J3202-H018841, 71 ,$57.15 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP 131A CYAN,Ink and Toner,OEM Toner,EA,954076,J3202-H018841, 16 ,$69.11 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP 131A YELLOW,Ink and Toner,OEM Toner,EA,954075,J3202-H018841, 13 ,$71.01 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP 35A BLACK 2PK,Ink and Toner,OEM Toner,PK,796677,J3202-H018841, 31 ,$128.96 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP 37A BLACK,Ink and Toner,OEM Toner,EA,2707003,J3202-H018841, 22 ,$157.21 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP CE285AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,853301,J3202-H018841, 11 ,$25.46 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,HP CE505AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,760476,J3202-H018841, 1 ,$35.54 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,LEXMARK 501H HY RETURN TON BLK,Ink and Toner,OEM Toner,EA,117468,J3202-H018841, 111 ,$133.48 
LA,70106425,375039,GREAT FALLS CLINIC,0000,GREAT FALLS CLINIC,3000 15TH AVE S,GREAT FALLS,MT,59405,10/26/2012,LEXMARK 501U ULTR-HY RETRN BLK,Ink and Toner,OEM Toner,EA,117466,J3202-H018841, 47 ,$282.88 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,BROTHER TN450 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,889863,A9586-H026742, 22 ,$45.64 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,BROTHER TN760 HI-YIELD BLACK,Ink and Toner,OEM Toner,EA,2735027,A9586-H026742, 41 ,$69.20 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 508A BLACK,Ink and Toner,OEM Toner,EA,1585355,A9586-H026742, 21 ,$133.24 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 508A CYAN,Ink and Toner,OEM Toner,EA,1585353,A9586-H026742, 21 ,$190.75 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 508A MAGENTA,Ink and Toner,OEM Toner,EA,1585351,A9586-H026742, 21 ,$190.75 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 508A YELLOW,Ink and Toner,OEM Toner,EA,1585350,A9586-H026742, 21 ,$190.75 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 58A BLACK,Ink and Toner,OEM Toner,EA,24398981,A9586-H026742, 11 ,$99.63 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP 80A BLACK,Ink and Toner,OEM Toner,EA,665699,A9586-H026742, 15 ,$36.34 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,HP CE278AC BLACK TONER CART,Ink and Toner,OEM Toner,EA,126084,A9586-H026742, 1 ,$19.76 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,1,MOUNTAIN VIEW HOSPITAL,5370 HEYREND DR,IDAHO FALLS,ID,83402,10/26/2012,TROY MICR 0281500001 SCR TNR,Ink and Toner,OEM Toner,EA,2420149,A9586-H026742, 19 ,$193.32 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,2351CORONADOST,MOUNTAIN VIEW HOSPITAL,2351 CORONADO ST,IDAHO FALLS,ID,83404,1/25/2021,KYOCERA MITA TK-3102 LASER TON,Ink and Toner,OEM Toner,EA,071214,A9586-H013887, 44 ,$74.55 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,850ENERGYDR,MVH BUSINESS OFFICE,850 ENERGY DR,IDAHO FALLS,ID,83401,5/20/2020,HP 204A CYAN,Ink and Toner,OEM Toner,EA,2796029,A9586-H013887,(1),$53.57 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,850ENERGYDR,MVH BUSINESS OFFICE,850 ENERGY DR,IDAHO FALLS,ID,83401,5/20/2020,HP 204A MAGENTA,Ink and Toner,OEM Toner,EA,2796025,A9586-H013887,(1),$53.57 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,850ENERGYDR,MVH BUSINESS OFFICE,850 ENERGY DR,IDAHO FALLS,ID,83401,5/20/2020,HP 204A YELLOW,Ink and Toner,OEM Toner,EA,2796028,A9586-H013887,(2),$53.57 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,850ENERGYDR,MVH BUSINESS OFFICE,850 ENERGY DR,IDAHO FALLS,ID,83401,5/20/2020,HP 90A BLACK,Ink and Toner,OEM Toner,EA,927589,A9586-H013887, 19 ,$63.27 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,DR COOPER,EASTERN IDAHO FOOT CLINIC,2610 CHANNING WAY,IDAHO FALLS,ID,83404,10/6/2016,KYOCERA TK1172 TONER BLACK,Ink and Toner,OEM Toner,EA,2720382,A9586-H013887, 11 ,$71.99 
74.14,70106433,376238,MOUNTAIN VIEW HOSPITAL,DRHINKLEY,DR HINKLEY,2305 CORONADO ST,IDAHO FALLS,ID,83404,2/8/2021,KYOCERA TK1162 TONER BLACK,Ink and Toner,OEM Toner,EA,2720383,A9586-H013887, 1 ,$88.31 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-040 BLACK TONER,Ink and Toner,OEM Toner,EA,24341312,A9586-H080308, 3 ,$128.63 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-040 YELLOW TONER,Ink and Toner,OEM Toner,EA,24341287,A9586-H080308, 2 ,$179.51 
LA,70106433,376238,MOUNTAIN VIEW HOSPITAL,GRAND TETON,GRAND TETON SURGICAL CENTER,2290 CORONADO ST,IDAHO FALLS,ID,83404,11/5/2020,CANON CRG-040H HY BLACK TNR,Ink and Toner,OEM Toner,EA,24341297,A9586-H080308, 1 ,$201.59 
